company_name,stock_code,corp_code,market
3S,060310,00378363,KOSDAQ
APS,054620,00296078,KOSDAQ
APS이노베이션,079810,00445160,KOSDAQ
AP시스템,265520,01203808,KOSDAQ
AP위성,211270,00874803,KOSDAQ
BGF에코머티리얼즈,126600,00599595,KOSDAQ
CG인바이츠,083790,00407814,KOSDAQ
CJ ENM,035760,00265324,KOSDAQ
CJ 바이오사이언스,311690,01071041,KOSDAQ
CJ프레시웨이,051500,00127954,KOSDAQ
CMG제약,058820,00380429,KOSDAQ
CNT85,056730,00318662,KOSDAQ
CS,065770,00303703,KOSDAQ
CSA 코스믹,083660,00406037,KOSDAQ
DB금융스팩12호,477760,01814589,KOSDAQ
DGI,099520,00627029,KOSDAQ
DH오토리드,290120,01182578,KOSDAQ
DH오토웨어,025440,00110583,KOSDAQ
DMS,068790,00361594,KOSDAQ
DSC인베스트먼트,241520,01109715,KOSDAQ
DXVX,180400,00995993,KOSDAQ
E8,418620,01516890,KOSDAQ
EDGC,245620,01182550,KOSDAQ
EG,037370,00261054,KOSDAQ
ES큐브,050120,00175623,KOSDAQ
FSN,214270,01061497,KOSDAQ
GC메디아이,032620,00220057,KOSDAQ
GH신소재,130500,00491938,KOSDAQ
GRT,900290,01170962,KOSDAQ
GST,083450,00540863,KOSDAQ
HB솔루션,297890,00523936,KOSDAQ
HB인베스트먼트,440290,00309460,KOSDAQ
HB테크놀러지,078150,00255275,KOSDAQ
HC보광산업,225530,00568461,KOSDAQ
HC홈센타,060560,00288495,KOSDAQ
HEM파마,376270,01480708,KOSDAQ
HK이노엔,195940,01012066,KOSDAQ
HLB,028300,00199252,KOSDAQ
HLB바이오스텝,278650,01189438,KOSDAQ
HLB생명과학,067630,00365590,KOSDAQ
HLB이노베이션,024850,00155586,KOSDAQ
HLB제넥스,187420,00983916,KOSDAQ
HLB제약,047920,00336817,KOSDAQ
HLB테라퓨틱스,115450,00552859,KOSDAQ
HLB파나진,046210,00172079,KOSDAQ
HLB펩,196300,00808086,KOSDAQ
HPSP,403870,01288827,KOSDAQ
HRS,036640,00230911,KOSDAQ
IBKS제23호스팩,467930,01785700,KOSDAQ
IBKS제24호스팩,469480,01792791,KOSDAQ
ISC,095340,00572905,KOSDAQ
JTC,950170,01041828,KOSDAQ
JW신약,067290,00110431,KOSDAQ
JYP Ent.,035900,00258689,KOSDAQ
KBG,318000,00876166,KOSDAQ
KBI메탈,024840,00158024,KOSDAQ
KB오토시스,024120,00157539,KOSDAQ
KB제29호스팩,478390,01816268,KOSDAQ
KB제30호스팩,486630,01851650,KOSDAQ
KB제31호스팩,492220,01866926,KOSDAQ
KCC건설,021320,00105466,KOSDAQ
KD,044180,00111218,KOSDAQ
KG에코솔루션,151860,00366137,KOSDAQ
KG이니시스,035600,00264547,KOSDAQ
KG파이낸셜,046440,00405278,KOSDAQ
KH바텍,060720,00378628,KOSDAQ
KNN,058400,00208134,KOSDAQ
KS인더스트리,101000,00618410,KOSDAQ
KT나스미디어,089600,00486097,KOSDAQ
KT밀리의서재,418470,01467451,KOSDAQ
KT지니뮤직,043610,00223762,KOSDAQ
KX,122450,00657987,KOSDAQ
KX하이텍,052900,00276834,KOSDAQ
KZ정밀,036560,00141389,KOSDAQ
LB세미콘,061970,00412348,KOSDAQ
