상호명,주소,대표메뉴,한줄코멘트,가격대,영업시간,휴무일,몰리는시간
허니모먼트,대전 중구 선화로 93-1 1층 101호 허니모먼트,,,,,,
소솜,대전 서구 원도안로241번길 24-46 1층 101호,,,,,,
카페이이오,대전 서구 용소로39번길 32 1층 102호,,,,,,
버터컵,대전 동구 백룡로 36-1 지하1층,,,,,,
젤리포에,대전 서구 계룡로 399-1 101호,,,,,,
평생직장커피,대전 중구 계룡로874번길 71,,,,,,
윈터커피로스터스,대전 중구 대흥로111번길 34,,,,,,
뮤제,대전 중구 대흥로121번길 44,,,,11:00~22:00,수요일,
케이크 퍼즐,대전 서구 계룡로367번길 36 1층,,,,,,
챔프스페이스 커피로스터즈,,,,,,,
관저당,대전 서구 구봉산북로21번길 11,샌드위치·빵,,,10:00~17:00,,
도안양과점,대전 서구 원도안로179번길 72 1층,,,,,,
리사앤플라워,대전 서구 관저남로25번길 23-48 1층,,,,,,
프로틴팩토리,,,,,,,
윤달,대전 서구 도안대로 55 JJ빌딩 101호 카페윤달,,,,,,
파티세리 율,,,,,,,
3월의 머무름,,,,,,,
오드비베이크샵,대전 유성구 원신흥남로42번길 19-12 1층,,,,,,
클로버 포 유,대전 서구 도산로253번길 45 1층,,,,,,
이케엔솜,대전 서구 갈마로 7-13 102호 이케엔솜,,,,,,
정동문화사,대전 동구 창조2길 11,휘낭시에,,,화~토 12:00~17:00,일·월,
오늘의빵집,대전 대덕구 덕암로195번길 2 1층,,,,,,
카페비포유,대전 서구 도산로 251 성보빌딩 1층,,,,,,
빵순상점,대전 서구 가장로 66 2층,,,,,,
블라썸케이크,대전 서구 도산로341번길 96 롯데드림빌 1층 블라썸케이크,,,,,,
역전빵,대전 동구 대전로 823-2,,,,,,
커피노리,대전 서구 둔산중로 38 둔산메트로존 105호,,,,,,
토우,대전 동구 대전로 771,,,,,,
마들렌과자점,대전 유성구 은구비서로23번길 9,애플파이·마티니,,,10:00~22:00,,
써틴브레드,대전 유성구 노은로 174,,,,,,
푸우딩,대전 중구 계룡로830번길 44 2층,,,,,,
이엘베이킹,대전 서구 계룡로 401 101호 이엘베이킹,,,,,,
언니네빵집,대전 동구 비래서로42번길 104 1층,,,,,,
안가네대추빵,대전 동구 동서대로1668번길 28 1층 안가네대추빵 대전점,,,,,,
