"강좌
번호",학점,이론,실습,교과목명,학년,교과구분,시간,강의실,"캠퍼스
구분","개설
대학","개설
학과","개설
전공및
분반",교수명
CAIB0211-001,3.00,3,0,자연어처리개론,4,전공,"화 1A,1B,2A
목 2B,3A,3B",산격동 캠퍼스  IT대학5호관(IT융복합관)345,대구캠퍼스,IT대학,컴퓨터학부,플랫폼소프트웨어전공,김수연
CAIB0216-002,3.00,3,0,강화학습개론,3,전공,"화 2B,3A,3B
목 1A,1B,2A",산격동 캠퍼스  IT대학5호관(IT융복합관)345,대구캠퍼스,IT대학,컴퓨터학부,인공지능컴퓨팅전공,이성현
COME0311-004,3.00,3,0,확률및통계,2,전공,"월 1A,1B,2A
수 2B,3A,3B",산격동 캠퍼스  IT대학5호관(IT융복합관)345,대구캠퍼스,IT대학,컴퓨터학부,,강네이트
COME0311-005,3.00,3,0,확률및통계,2,전공,"화 8B,9A,9B
목 8B,9A,9B",산격동 캠퍼스  IT대학5호관(IT융복합관)B101,대구캠퍼스,IT대학,컴퓨터학부,,김명석
COME0311-006,3.00,3,0,확률및통계,2,전공,"화 1A,1B,2A
목 2B,3A,3B",산격동 캠퍼스  IT대학5호관(IT융복합관)B101,대구캠퍼스,IT대학,컴퓨터학부,인공지능컴퓨팅전공,정든솔
COME0331-003,3.00,3,0,자료구조,2,전공,"월 5B,6A,6B
수 5B,6A,6B",산격동 캠퍼스  IT대학5호관(IT융복합관)345,대구캠퍼스,IT대학,컴퓨터학부,,김구진
COME0331-004,3.00,3,0,자료구조,1,전공,"월 5B,6A,6B
수 5B,6A,6B",산격동 캠퍼스  IT대학5호관(IT융복합관)224,대구캠퍼스,IT대학,컴퓨터학부,심화컴퓨팅전공,배진학
COME0331-005,3.00,3,0,자료구조,1,전공,"월 5B,6A,6B
수 5B,6A,6B",산격동 캠퍼스  IT대학5호관(IT융복합관)348,대구캠퍼스,IT대학,컴퓨터학부,심화컴퓨팅전공,류은경
COME0331-006,3.00,3,0,자료구조,1,전공,"월 5B,6A,6B
수 5B,6A,6B",산격동 캠퍼스  IT대학5호관(IT융복합관)B102,대구캠퍼스,IT대학,컴퓨터학부,첨단컴퓨팅연구전공,백태산
COME0368-001,3.00,3,0,정보보호론,4,전공,"월 2B,3A,3B
수 1A,1B,2A",산격동 캠퍼스  IT대학5호관(IT융복합관)351,대구캠퍼스,IT대학,컴퓨터학부,플랫폼소프트웨어전공,이지연
COMP0204-001,6.00,4,4,프로그래밍기초,1,전공,"화 6A,6B
화 7A,7B
화 8A,8B
화 9A,9B
목 6A,6B
목 7A,7B
목 8A,8B
목 9A,9B",산격동 캠퍼스  IT대학5호관(IT융복합관)355,대구캠퍼스,IT대학,컴퓨터학부,인공지능컴퓨팅전공,이우진
COMP0205-001,3.00,2,2,기초창의공학설계,1,전공,"금 1A,1B
금 2A,2B
금 3A,3B
금 4A,4B",산격동 캠퍼스  IT대학5호관(IT융복합관)248,대구캠퍼스,IT대학,컴퓨터학부,인공지능컴퓨팅전공,정창수
COMP0216-001,3.00,2,2,자료구조응용,2,전공,"월 7A,7B
월 8A,8B
수 7A,7B
수 8A,8B",산격동 캠퍼스  IT대학5호관(IT융복합관)301,대구캠퍼스,IT대학,컴퓨터학부,,김구진
COMP0224-001,3.00,3,0,소프트웨어설계,2,전공,"화 7A,7B,8A
목 5B,6A,6B",산격동 캠퍼스  IT대학5호관(IT융복합관)345,대구캠퍼스,IT대학,컴퓨터학부,,손정주
COMP0224-002,3.00,3,0,소프트웨어설계,2,전공,"월 2B,3A,3B
수 1A,1B,2A",산격동 캠퍼스  IT대학5호관(IT융복합관)345,대구캠퍼스,IT대학,컴퓨터학부,글로벌소프트웨어융합전공,이호경
COMP0225-001,3.00,2,2,디지털설계및실험,2,전공,"월 6A,6B
월 7A,7B
월 8A,8B
월 9A,9B",산격동 캠퍼스  IT대학5호관(IT융복합관)355,대구캠퍼스,IT대학,컴퓨터학부,,김용태
COMP0312-001,3.00,3,0,운영체제,2,전공,"월 7A,7B,8A
수 5B,6A,6B",산격동 캠퍼스  IT대학5호관(IT융복합관)B101,대구캠퍼스,IT대학,컴퓨터학부,글로벌소프트웨어융합전공,탁병철
COMP0312-002,3.00,3,0,운영체제,2,전공,"화 5B,6A,6B
목 7A,7B,8A",산격동 캠퍼스  IT대학5호관(IT융복합관)B101,대구캠퍼스,IT대학,컴퓨터학부,인공지능컴퓨팅전공,김명석
COMP0312-003,3.00,3,0,운영체제,2,전공,"화 7A,7B,8A
목 5B,6A,6B",산격동 캠퍼스  IT대학5호관(IT융복합관)B101,대구캠퍼스,IT대학,컴퓨터학부,인공지능컴퓨팅전공,김명석
COMP0320-001,3.00,2,2,알고리즘2,3,전공,"목 1A,1B
목 2A,2B
목 3A,3B
목 4A,4B",산격동 캠퍼스  IT대학5호관(IT융복합관)224,대구캠퍼스,IT대학,컴퓨터학부,,배준현
COMP0322-001,3.00,2,2,데이타베이스,3,전공,"화 1A,1B
화 2A,2B
화 3A,3B
화 4A,4B",산격동 캠퍼스  IT대학5호관(IT융복합관)225,대구캠퍼스,IT대학,컴퓨터학부,,서영균
COMP0322-002,3.00,2,2,데이타베이스,3,전공,"목 6A,6B
목 7A,7B
목 8A,8B
목 9A,9B",산격동 캠퍼스  IT대학5호관(IT융복합관)225,대구캠퍼스,IT대학,컴퓨터학부,,이천희
COMP0322-003,3.00,2,2,데이타베이스,3,전공,"수 1A,1B
수 2A,2B
수 3A,3B
수 4A,4B",산격동 캠퍼스  IT대학5호관(IT융복합관)225,대구캠퍼스,IT대학,컴퓨터학부,글로벌소프트웨어융합전공,이천희
COMP0322-004,3.00,2,2,데이타베이스,3,전공,"수 1A,1B
수 2A,2B
수 3A,3B
수 4A,4B",산격동 캠퍼스  IT대학5호관(IT융복합관)355,대구캠퍼스,IT대학,컴퓨터학부,글로벌소프트웨어융합전공,한명균
COMP0322-005,3.00,2,2,데이타베이스,3,전공,"금 1A,1B
금 2A,2B
금 3A,3B
금 4A,4B",산격동 캠퍼스  IT대학5호관(IT융복합관)225,대구캠퍼스,IT대학,컴퓨터학부,인공지능컴퓨팅전공,소휘수
COMP0323-002,3.00,3,0,데이타통신,2,전공,"화 7A,7B,8A
목 8B,9A,9B",산격동 캠퍼스  IT대학5호관(IT융복합관)B102,대구캠퍼스,IT대학,컴퓨터학부,글로벌소프트웨어융합전공,펑리메이
COMP0324-003,3.00,3,0,인공지능,2,전공,"월 8B,9A,9B
수 8B,9A,9B",산격동 캠퍼스  IT대학5호관(IT융복합관)B101,대구캠퍼스,IT대학,컴퓨터학부,글로벌소프트웨어융합전공,남우정
COMP0324-004,3.00,3,0,인공지능,2,전공,"화 2B,3A,3B
목 1A,1B,2A",산격동 캠퍼스  IT대학5호관(IT융복합관)B101,대구캠퍼스,IT대학,컴퓨터학부,인공지능컴퓨팅전공,정든솔
COMP0328-001,3.00,2,2,모바일앱프로그래밍1,3,전공,"금 1A,1B
금 2A,2B
금 3A,3B
금 4A,4B",산격동 캠퍼스  IT대학4호관(제2학생회관)106,대구캠퍼스,IT대학,컴퓨터학부,,정기숙
COMP0328-002,3.00,2,2,모바일앱프로그래밍1,4,전공,"금 6A,6B
금 7A,7B
금 8A,8B
금 9A,9B",산격동 캠퍼스  IT대학4호관(제2학생회관)106,대구캠퍼스,IT대학,컴퓨터학부,인공지능컴퓨팅전공,정기숙
COMP0333-001,3.00,2,2,데이터분석을 위한 파이썬프로그래밍,1,전공,"화 6A,6B
화 7A,7B
화 8A,8B
화 9A,9B",산격동 캠퍼스  IT대학5호관(IT융복합관)224,대구캠퍼스,IT대학,컴퓨터학부,심화컴퓨팅전공,배준현
COMP0334-001,1.00,0,2,프로그래밍연습2,1,전공,"목 6A,6B
목 7A,7B",산격동 캠퍼스  IT대학5호관(IT융복합관)224,대구캠퍼스,IT대학,컴퓨터학부,심화컴퓨팅전공,배진학
COMP0334-003,1.00,0,2,프로그래밍연습2,1,전공,"목 8A,8B
목 9A,9B",산격동 캠퍼스  IT대학5호관(IT융복합관)224,대구캠퍼스,IT대학,컴퓨터학부,첨단컴퓨팅연구전공,배진학
COMP0335-001,3.00,1,4,자료구조실습,1,전공,"월 7A,7B
월 8A,8B
월 9A,9B
수 7A,7B
수 8A,8B",산격동 캠퍼스  IT대학5호관(IT융복합관)224,대구캠퍼스,IT대학,컴퓨터학부,심화컴퓨팅전공,배진학
COMP0335-002,3.00,1,4,자료구조실습,1,전공,"월 7A,7B
월 8A,8B
월 9A,9B
수 7A,7B
수 8A,8B",산격동 캠퍼스  IT대학5호관(IT융복합관)225,대구캠퍼스,IT대학,컴퓨터학부,심화컴퓨팅전공,류은경
COMP0336-001,3.00,2,2,객체지향프로그래밍기초,1,전공,"금 1A,1B
금 2A,2B
금 3A,3B
금 4A,4B",산격동 캠퍼스  IT대학5호관(IT융복합관)224,대구캠퍼스,IT대학,컴퓨터학부,첨단컴퓨팅연구전공,배준현
COMP0411-005,3.00,3,0,컴퓨터구조,2,전공,"월 1A,1B,2A
수 2B,3A,3B",산격동 캠퍼스  IT대학5호관(IT융복합관)B101,대구캠퍼스,IT대학,컴퓨터학부,,김용태
COMP0411-006,3.00,3,0,컴퓨터구조,2,전공,"월 2B,3A,3B
수 1A,1B,2A",산격동 캠퍼스  IT대학5호관(IT융복합관)B101,대구캠퍼스,IT대학,컴퓨터학부,,김정근
COMP0414-001,3.00,3,0,컴퓨터망,3,전공,"화 7A,7B,8A
목 5B,6A,6B",산격동 캠퍼스  IT대학5호관(IT융복합관)351,대구캠퍼스,IT대학,컴퓨터학부,글로벌소프트웨어융합전공,김동균
COMP0423-001,3.00,3,0,프로그래밍언어론,3,전공,"화 5B,6A,6B
목 7A,7B,8A",산격동 캠퍼스  IT대학5호관(IT융복합관)345,대구캠퍼스,IT대학,컴퓨터학부,,손정주
COMP0428-001,3.00,3,0,IT기술경영개론,4,전공,"화 2B,3A,3B
목 1A,1B,2A",산격동 캠퍼스  IT대학5호관(IT융복합관)B102,대구캠퍼스,IT대학,컴퓨터학부,플랫폼소프트웨어전공,백낙훈
COMP0432-001,2.00,2,0,소프트웨어 특강,2,전공,"목 5A,5B
목 6A,6B",산격동 캠퍼스  IT대학5호관(IT융복합관)B102,대구캠퍼스,IT대학,컴퓨터학부,,고석주
COMP0436-001,3.00,3,0,증강현실,4,전공,"월 7A,7B,8A
수 5B,6A,6B",산격동 캠퍼스  IT대학5호관(IT융복합관)245,대구캠퍼스,IT대학,컴퓨터학부,플랫폼소프트웨어전공,윤겨레
COMP0454-001,3.00,3,0,인공지능수학기초,1,전공,"월 2B,3A,3B
수 1A,1B,2A",산격동 캠퍼스  IT대학5호관(IT융복합관)348,대구캠퍼스,IT대학,컴퓨터학부,인공지능컴퓨팅전공,이종택
COMP0455-001,3.00,3,0,지능HCI,4,전공,"월 5B,6A,6B
수 7A,7B,8A",산격동 캠퍼스  IT대학5호관(IT융복합관)245,대구캠퍼스,IT대학,컴퓨터학부,데이터과학전공,윤겨레
COMP0458-001,3.00,3,0,모바일네트워크,4,전공,"화 8B,9A,9B
목 7A,7B,8A",산격동 캠퍼스  IT대학5호관(IT융복합관)348,대구캠퍼스,IT대학,컴퓨터학부,플랫폼소프트웨어전공,펑리메이
COMP0460-001,2.00,1,2,문제해결기반 공학연수실습(컴퓨터학),3,전공,"금 10A,10B
금 11A,11B
금 12A,12B",산격동 캠퍼스  IT대학4호관(제2학생회관)402,대구캠퍼스,IT대학,컴퓨터학부,글로벌소프트웨어융합전공,남덕윤
COMP0460-002,2.00,1,2,문제해결기반 공학연수실습(컴퓨터학),3,전공,"금 10A,10B
금 11A,11B
금 12A,12B",산격동 캠퍼스  공대9호관533,대구캠퍼스,IT대학,컴퓨터학부,글로벌소프트웨어융합전공,이성현
