month,category,hour,avg_sales_amount
06,김밥,0,234
06,김밥,1,110
06,김밥,2,117
06,김밥,3,228
06,김밥,4,0
06,김밥,5,120
06,김밥,6,780
06,김밥,7,568
06,김밥,8,114
06,김밥,9,230
06,김밥,10,102
06,김밥,11,94
06,김밥,12,448
06,김밥,13,205
06,김밥,14,94
06,김밥,15,224
06,김밥,16,1096
06,김밥,17,1140
06,김밥,18,1380
06,김밥,19,341
06,김밥,20,434
06,김밥,21,702
06,김밥,22,910
06,김밥,23,452
06,도시락,0,685
06,도시락,1,140
06,도시락,2,536
06,도시락,3,140
06,도시락,4,0
06,도시락,5,0
06,도시락,6,0
06,도시락,7,743
06,도시락,8,0
06,도시락,9,175
06,도시락,10,693
06,도시락,11,347
06,도시락,12,2110
06,도시락,13,860
06,도시락,14,354
06,도시락,15,159
06,도시락,16,349
06,도시락,17,874
06,도시락,18,354
06,도시락,19,1627
06,도시락,20,680
06,도시락,21,1103
06,도시락,22,1792
06,도시락,23,1650
06,주먹밥,0,546
06,주먹밥,1,202
06,주먹밥,2,419
06,주먹밥,3,0
06,주먹밥,4,114
06,주먹밥,5,0
06,주먹밥,6,387
06,주먹밥,7,101
06,주먹밥,8,1000
06,주먹밥,9,244
06,주먹밥,10,409
06,주먹밥,11,208
06,주먹밥,12,562
06,주먹밥,13,668
06,주먹밥,14,341
06,주먹밥,15,435
06,주먹밥,16,708
06,주먹밥,17,218
06,주먹밥,18,1003
06,주먹밥,19,628
06,주먹밥,20,870
06,주먹밥,21,445
06,주먹밥,22,776
06,주먹밥,23,478
06,햄버거샌드위치,0,1334
06,햄버거샌드위치,1,1506
06,햄버거샌드위치,2,649
06,햄버거샌드위치,3,714
06,햄버거샌드위치,4,0
06,햄버거샌드위치,5,172
06,햄버거샌드위치,6,776
06,햄버거샌드위치,7,419
06,햄버거샌드위치,8,779
06,햄버거샌드위치,9,452
06,햄버거샌드위치,10,682
06,햄버거샌드위치,11,386
06,햄버거샌드위치,12,770
06,햄버거샌드위치,13,472
06,햄버거샌드위치,14,1360
06,햄버거샌드위치,15,156
06,햄버거샌드위치,16,812
06,햄버거샌드위치,17,1434
06,햄버거샌드위치,18,2386
06,햄버거샌드위치,19,1302
06,햄버거샌드위치,20,1221
06,햄버거샌드위치,21,1668
06,햄버거샌드위치,22,1185
06,햄버거샌드위치,23,1334
