RCP_SNO,RCP_TTL,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT
139247,부들부들 보들보들 북어갈비♥,북어갈비,skfo0701,꽃날,7173,3,97,굽기,술안주,건어물류,메인반찬,오늘은 집에서 굴러다니고 쉽게 구할 수 있는 북어로 일품요리를 만들어 보았어요! 도시락 반찬으로는 물론 초대요리에도 너무너무 좋은 요리랍니다~ 겉에 찹쌀가루를 묻혀서 맛도 고소해요~,[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간,2인분,초급,60분이내,20070501000844 
221094,바삭바삭 양파링 튀김 만들기,양파링튀김,skfo0701,박꽃나래,18235,14,244,튀김,간식,채소류,디저트,완전 바삭바삭 맛있어요~ 특히 양파를 싫어하는 아이들에게도 거부감없이! 왜냐면 바삭바삭하고 매운맛도 전혀 없답니다!,[재료] 양파1개| 빵가루| 달걀 노른자1개| 밀가루1C| 물 약간| 파슬리 ,2인분,초급,30분이내,20071012223140 
6816670,베이컨김치말이밥,베이컨김치말이밥,moab21,여누리,9402,22,201,굽기,일상,가공식품류,밥/죽/떡,아삭한 김치와 베이컨 속에 밥을 넣고 돌돌 한입에 쏙 먹기도 편하고  맛도 좋은  베이컨 김치말이 주먹밥.,[재료] 밥 1공기| 베이컨| 포기김치 [양념] 소금 약간| 참기름 1T| 깨소금 약간,1인분,초급,30분이내,20150605155137 
333866,영양가득 호두 가래떡구이,호두가래떡구이,skfo0701,박꽃나래,8703,4,88,굽기,영양식,콩/견과류,디저트,손님대접에도 좋고 아이들에게도 좋은 호두 가래떡구이입니다.,[재료] 가래떡 1개| 호두 15알 정도 [양념] 깨 3T| 꿀 5T,1인분,아무나,15분이내,20071101215302 
345834,고소한 고구마보트,고구마보트,okwn7,센,4116,0,12,굽기,간식,채소류,디저트,달콤하고 부드러운 고구마가 커스타드크림을 만나 한층 더 고급스러운 맛을 자랑하는 고구마보트입니다.,[재료] 고구마 5개| 생크림 3큰술| 버터 2큰술| 커스타드크림 100g| 설탕 1큰술| 소금 약간 | 소금 약간| 설탕 1큰술,3인분,초급,30분이내,20071119133949 
346665,맛있는 김치와 굴을 넣은 뚝배기 라면,뚝배기라면,skfo0701,박꽃나래,37365,14,148,끓이기,야식,가공식품류,면/만두,누구나 쉽게 끓일 수 있는 라면에 제철을 맞은 싱싱한 굴과 김치를 넣어서 맛있는 라면을 끓여보아요.,[재료] 좋아하는 종류의 라면 1봉지| 김치 1/4포기| 굴 5~6개| 파 1개| 청or홍고추 1개 [양념] 고춧가루 약간,1인분,아무나,10분이내,20071120141425 
347791,오븐에 굽는 포테이토스킨,포테이토스킨,okwn7,센,8184,5,114,굽기,간식,채소류,디저트,감자는 어떤걸 해먹어도 맛있지만 간혹 좀 느끼하고 리치한 맛을 원할때가 있죠. 패밀리레스토랑 같은곳에나 가야 맛볼수 있는 포테이토스킨을 집에서도 쉽고 간단하게 만들어 먹을수 있어요. 기름에 튀기지 않고 오븐에 굽기 때문에 덜 느끼하고 담백하게 즐길수 있답니다.,[재료] 감자 4개| 올리브유 약간| 베이컨 4장| 모짜렐라치즈 200그램| 파슬리 약간 [양념] 소금 약간,2인분,초급,30분이내,20071121232920 
6895268,야끼만두,야끼만두,96may0504,따봉이kitchen,13370,0,160,튀김,간식,밀가루,면/만두,오늘은 정말 최고로 간단하고 최소한의 재료로 만드는 야끼만두를 만들어보려고 합니당~~~!!! 단 3가지 재료만 있으면 분식집 보다 더더더 맛있는 야끼만두를 만드실수가있는데용♡♡♡ 이게 과연 맛있을까??? 라는 생각은 접어두세용~~~!!! 한번 맛보면 계속 끊임없이 들어가는 마약같은 맛이랍니당♡♡♡ 만드는법도 너무 간단해서 누구나 만드실수있으니 다함께 만들어보세용~~~!!!♡♡♡,[재료] 만두피 10장| 불린 당면 200g [양념] 소금과 후추 취향껏,3인분,아무나,30분이내,20180904212340 
6870442,돼지고기김치찌개,돼지고기김치찌개,jh2y3,팬이맘,82719,131,1561,끓이기,일상,돼지고기,찌개, 구수한 돼지고기김치찌개 간단하고 맛있게 끓여봤어요. 반찬이 없을 땐 그저 김치찌개가 최고지요. 돼지고기 퐁당퐁당 빠트린다면  음 ~ 그 맛은 상상 그대로의 맛이 나온다는 것을요. ,[재료] 김치| 돼지고기| 들기름 2큰술| 설탕 2/3큰술,6인분이상,아무나,30분이내,20170528232159 
6965909,푸딩,푸딩,gdubu33,만개의레시피,9421,0,497,기타,간식,달걀/유제품,디저트,달콤한 푸딩이 먹고 싶으세요?  전자레인지만 있으면 맛있는 푸딩을 만들 수 있어요!  직접 만드는 달콤한 푸딩 한 번 도전해보세요!,[푸딩재료] 우유 2종이컵| 설탕 2숟가락| 달걀 2개 [시럽] 물 1숟가락| 설탕 2숟가락,2인분,아무나,15분이내,20210928122811 
